tags,visible,lon,lat,version,timestamp,id,changeset,depot,industrial,landuse,military,residential,osm_type,basin,construction,farmyard,grass,port,railway
"{""visible"":false}",,,,5,1748113243,326728737,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1423219689,326728738,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1423221533,326731584,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,2,1666808237,326848219,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,2,1723552772,326854359,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1423288033,326854360,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1423288033,326854361,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1423288033,326854362,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1423289168,326856794,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1423291085,326861839,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""Bhat GIDC""}",,,,7,1713883937,327226542,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1426076362,332255558,,,,industrial,,,way,,,,,,
"{""visible"":false,""building"":""yes""}",,,,2,1723104054,367204725,,,,industrial,,,way,,,,,,
"{""visible"":false,""name"":""AMTS Depot""}",,,,2,1666812415,374268031,,,depot,industrial,,,way,,,,,,
"{""visible"":false}",,,,1,1492507173,487641391,,,,industrial,,,way,,,,,,
"{""visible"":false}",,,,2,1644794089,499625699,,,,industrial,,,way,,,,,,
