name,competitor_type,sub_category,lat,lon,visible
JBS Academy Private Limited,schools,General Educational School,22.98423,72.57628,True
Al Faruk Primary School,schools,Primary & Pre-School,22.9962,72.57676,True
Shama Institute Of Medical Sciences,schools,General Educational School,22.99437,72.57746,True
Ramesh Nursery,schools,Primary & Pre-School,22.99697,72.57775,True
Ashiya English School,schools,Secondary & High School,22.99674,72.5786,True
Success group tuition,schools,Coaching & Entrance Institute,22.99721,72.57873,True
Shantiniketan English Medium School,schools,Secondary & High School,22.99684,72.57939,True
Fly up English School,schools,Secondary & High School,22.97616,72.58021,True
"St. Mary's school, Ognaj, Ahmedabad",schools,Secondary & High School,22.97704,72.58272,True
Salman,schools,General Educational School,22.99137,72.58162,True
Lord Nilkanth English School and Jay Ambe GHS School,schools,Secondary & High School,22.99822,72.58101,True
A. B. Academy,schools,General Educational School,22.99786,72.58159,True
Brighton  School,schools,Secondary & High School,22.98778,72.58211,True
Juned sir academy,schools,General Educational School,22.9984,72.58362,True
Angelcity PreSchool,schools,Primary & Pre-School,22.99365,72.58482,True
Life line english school,schools,Secondary & High School,22.99364,72.58467,True
M.S. Public School,schools,Secondary & High School,22.99114,72.58493,True
Sudarshan Dyeing,schools,General Educational School,22.984,72.5839,True
Shahin Tuition Classes,schools,Coaching & Entrance Institute,22.98396,72.58394,True
Girikandra Trading Company,schools,General Educational School,22.974,72.58353,True
Shri Ambica Polyfill,schools,General Educational School,22.96311,72.58453,True
Cuemath,schools,General Educational School,22.95825,72.58234,True
KB Hindi School,schools,Secondary & High School,22.95347,72.58396,True
Sun English School,schools,Secondary & High School,22.95333,72.58373,True
Right Education Academy,schools,General Educational School,22.95415,72.58311,True
Pragati -The Progress Coaching Centre,schools,Coaching & Entrance Institute,22.95843,72.58293,True
Achievers Academy Official,schools,General Educational School,22.93808,72.58443,True
Gita High School,schools,Secondary & High School,22.94065,72.57838,True
Pratik Sagar Group Tuition,schools,Coaching & Entrance Institute,22.93732,72.57821,True
Shree U L Patel High School,schools,Secondary & High School,22.91004,72.59224,True
Unnati Vidhyalaya,schools,Secondary & High School,22.95515,72.58601,True
Excellent classes,schools,Coaching & Entrance Institute,22.95532,72.58766,True
V V Patel Vidhyamandir,schools,General Educational School,22.96924,72.58945,True
Green Lawns High School,schools,Secondary & High School,22.96924,72.58945,True
School of Behavioural Sciences and Forensic Investigations - SBSFI,schools,Secondary & High School,22.96873,72.58685,True
Heaven Kidz Pre School,schools,Primary & Pre-School,22.96562,72.58593,True
Kala Dance Academy,schools,General Educational School,22.9623,72.58581,True
SRI Gayatri Primary School,schools,Primary & Pre-School,22.9623,72.58581,True
Vivekanand Hindi High School,schools,Secondary & High School,22.96318,72.58552,True
Divine Public School,schools,Secondary & High School,22.9635,72.58524,True
Remica plastic machinery,schools,College & University,22.96551,72.58554,True
Star Kids Preschool,schools,Primary & Pre-School,22.99306,72.58531,True
Newton Group Tuition,schools,Coaching & Entrance Institute,22.99707,72.58531,True
Scholar Academy,schools,General Educational School,22.9947,72.58831,True
IICT Computer Education,schools,General Educational School,22.99487,72.58893,True
Pink Cloud Education Institute,schools,General Educational School,22.99471,72.58871,True
Elite Coaching Institute,schools,Coaching & Entrance Institute,22.99493,72.58865,True
The New Era High School,schools,Secondary & High School,22.9974,72.58936,True
Mahavir School - Isanpur,schools,Secondary & High School,22.98151,72.58957,True
Alishan School (Alishan Vidhyalay),schools,Secondary & High School,22.98242,72.58739,True
KM Overseas,schools,General Educational School,22.97921,72.5882,True
Cataliq Laboratories,schools,General Educational School,22.97762,72.58745,True
Shree Mahavir Madhyamik Vidyalaya,schools,Secondary & High School,22.97967,72.59009,True
Little Star Preschool,schools,Primary & Pre-School,22.98069,72.59141,True
Manappuram Finance,schools,General Educational School,22.99787,72.5899,True
Smart Champs,schools,General Educational School,22.99821,72.59218,True
Noble Academy - Ahemedabad,schools,General Educational School,22.99482,72.59246,True
St. Bosco English School,schools,Secondary & High School,22.99762,72.59333,True
Kashi Hindi Higher Secondary School,schools,Secondary & High School,22.98466,72.59202,True
Mahavir Vidhayalay High School,schools,Secondary & High School,22.98289,72.59295,True
Gill Sir's Spoken English Class in Maninagar,schools,General Educational School,22.97708,72.59293,True
Gaytri School,schools,Secondary & High School,22.96042,72.59315,True
Shri Gayatri Prathmik Shala,schools,Primary & Pre-School,22.96048,72.59184,True
Ekta Higher Secondary School,schools,Secondary & High School,22.96074,72.59181,True
DNA Academy,schools,General Educational School,22.95507,72.59096,True
Math Tuition Classes Cuemath,schools,Coaching & Entrance Institute,22.95079,72.59159,True
SBA Academy,schools,General Educational School,22.95568,72.59215,True
Udaan Institute of Information and Technology,schools,General Educational School,22.95654,72.59223,True
The Wings Accounting Academy,schools,General Educational School,22.95657,72.59222,True
Home First Finance Company ( HFFC ),schools,General Educational School,22.95621,72.59221,True
Aims Institute of Paramedical science,schools,General Educational School,22.95618,72.59219,True
CDAC Computer Center,schools,General Educational School,22.95625,72.59201,True
Rahe Public School,schools,Secondary & High School,22.95855,72.59262,True
AD Kids International Preschool,schools,International School,22.95859,72.59298,True
Divine Educational Institute,schools,General Educational School,22.95084,72.59407,True
AD Kids International Pre School,schools,International School,22.9484,72.59451,True
Hiramanek narol,schools,General Educational School,22.95013,72.59499,True
Tiny Tots Pre School,schools,Primary & Pre-School,22.94933,72.59625,True
Gen-X Academia,schools,General Educational School,22.94908,72.59737,True
Divine Life International School,schools,International School,22.9494,72.59854,True
Hira Manek School,schools,Secondary & High School,22.95283,72.59845,True
Shivaay Garba Classes,schools,Coaching & Entrance Institute,22.95288,72.59852,True
RHA Isanpur Academy,schools,General Educational School,22.97061,72.5975,True
IMAGE English School,schools,Secondary & High School,22.97138,72.59743,True
The Rising Sun Primary School,schools,Primary & Pre-School,22.97138,72.59743,True
Sheetal Saurabh Education Campus,schools,College & University,22.97138,72.59743,True
Bhrugesh Gas Service,schools,General Educational School,22.97138,72.59743,True
Colorband Dyestuff,schools,General Educational School,22.9713,72.5952,True
Concept Shell,schools,College & University,22.96309,72.59626,True
Concept Hyundai Narol Showroom,schools,College & University,22.96289,72.59559,True
Jeet Junior School,schools,Coaching & Entrance Institute,22.97226,72.59508,True
Bhoomi Motors,schools,General Educational School,22.97006,72.59442,True
Best High School,schools,Secondary & High School,22.99772,72.5953,True
Best Higher Secondary School,schools,Secondary & High School,22.99766,72.59524,True
Best School [Maninagar] is the best of Ahmedabad,schools,Secondary & High School,22.99773,72.59528,True
The Rudra Guitar Academy,schools,General Educational School,22.99632,72.59573,True
Deepam Foreign Education,schools,General Educational School,22.98781,72.59607,True
Shreeji Interio Concept,schools,College & University,22.98728,72.59685,True
Radhe Shyam Garba Classes,schools,Coaching & Entrance Institute,22.99057,72.59649,True
"Academy of Advanced Education & Expertise , Ahmedabad",schools,General Educational School,22.99218,72.59647,True
SMT. P.B.D Joshi High School,schools,Secondary & High School,22.99721,72.59674,True
Pyramid Overseas Education Consultants,schools,General Educational School,22.99374,72.5971,True
EduMETA The i-School,schools,Secondary & High School,22.99511,72.59816,True
Math Tuition Classes Cuemath,schools,Coaching & Entrance Institute,22.99035,72.59781,True
